title,year,director,duration,cast,genre,imdb_rating
Rashômon,1950,Akira Kurosawa,88,Toshirô Mifune,Based-on-20th-Century-Literature  •  Crime Drama  •  Crime,8.2
Rashômon,1950,Akira Kurosawa,88,Machiko Kyô,Based-on-20th-Century-Literature  •  Crime Drama  •  Crime,8.2
Rashômon,1950,Akira Kurosawa,88,Minoru Chiaki,Based-on-20th-Century-Literature  •  Crime Drama  •  Crime,8.2
Sunset Blvd.,1950,Billy Wilder,110,William Holden,Film Noir  •  Mystery  •  Political Thriller,5.2
Sunset Blvd.,1950,Billy Wilder,110,Gloria Swanson,Film Noir  •  Mystery  •  Political Thriller,5.2
Sunset Blvd.,1950,Billy Wilder,110,Nancy Olson,Film Noir  •  Mystery  •  Political Thriller,5.2
In a Lonely Place,1950,Nicholas Ray,94,Humphrey Bogart,Drama  •  Film Noir  •  Media Satire,7.9
In a Lonely Place,1950,Nicholas Ray,94,Gloria Grahame,Drama  •  Film Noir  •  Media Satire,7.9
In a Lonely Place,1950,Nicholas Ray,94,Frank Lovejoy,Drama  •  Film Noir  •  Media Satire,7.9
All About Eve,1950,Joseph L. Mankiewicz,138,Bette Davis,Based-on-Theatre  •  Comedy  •  Romance,8.2
All About Eve,1950,Joseph L. Mankiewicz,138,Anne Baxter,Based-on-Theatre  •  Comedy  •  Romance,8.2
All About Eve,1950,Joseph L. Mankiewicz,138,George Sanders,Based-on-Theatre  •  Comedy  •  Romance,8.2
Harvey,1950,Henry Koster,104,James Stewart,Drama  •  Foreign Language Film  •  Psychological Drama,7.9
Harvey,1950,Henry Koster,104,Josephine Hull,Drama  •  Foreign Language Film  •  Psychological Drama,7.9
Harvey,1950,Henry Koster,104,Peggy Dow,Drama  •  Foreign Language Film  •  Psychological Drama,7.9
The Asphalt Jungle,1950,John Huston,112,Louis Calhern,Coming-of-Age  •  Drama  •  Foreign Language Film,7.8
The Asphalt Jungle,1950,John Huston,112,James Whitmore,Coming-of-Age  •  Drama  •  Foreign Language Film,7.8
The Asphalt Jungle,1950,John Huston,112,Sam Jaffe,Coming-of-Age  •  Drama  •  Foreign Language Film,7.8
Winchester '73,1950,Anthony Mann,92,Dan Duryea,Western,7.6
Winchester '73,1950,Anthony Mann,92,James Stewart,Western,7.6
Winchester '73,1950,Anthony Mann,92,Shelley Winters,Western,7.6
Night and the City,1950,Jules Dassin,96,Richard Widmark,Absurd Comedy  •  Comedy  •  Farce,7.8
