title,year,director,duration,cast,genre,imdb_rating
Rashômon,1950,Akira Kurosawa,88,"Toshirô Mifune, Machiko Kyô, Minoru Chiaki",Based-on-20th-Century-Literature,8.2
Rashômon,1950,Akira Kurosawa,88,"Toshirô Mifune, Machiko Kyô, Minoru Chiaki",Crime Drama,8.2
Rashômon,1950,Akira Kurosawa,88,"Toshirô Mifune, Machiko Kyô, Minoru Chiaki",Crime,8.2
Sunset Blvd.,1950,Billy Wilder,110,"William Holden, Gloria Swanson, Nancy Olson",Film Noir,5.2
Sunset Blvd.,1950,Billy Wilder,110,"William Holden, Gloria Swanson, Nancy Olson",Mystery,5.2
Sunset Blvd.,1950,Billy Wilder,110,"William Holden, Gloria Swanson, Nancy Olson",Political Thriller,5.2
In a Lonely Place,1950,Nicholas Ray,94,"Humphrey Bogart, Gloria Grahame, Frank Lovejoy",Drama,7.9
In a Lonely Place,1950,Nicholas Ray,94,"Humphrey Bogart, Gloria Grahame, Frank Lovejoy",Film Noir,7.9
In a Lonely Place,1950,Nicholas Ray,94,"Humphrey Bogart, Gloria Grahame, Frank Lovejoy",Media Satire,7.9
All About Eve,1950,Joseph L. Mankiewicz,138,"Bette Davis, Anne Baxter, George Sanders",Based-on-Theatre,8.2
All About Eve,1950,Joseph L. Mankiewicz,138,"Bette Davis, Anne Baxter, George Sanders",Comedy,8.2
All About Eve,1950,Joseph L. Mankiewicz,138,"Bette Davis, Anne Baxter, George Sanders",Romance,8.2
Harvey,1950,Henry Koster,104,"James Stewart, Josephine Hull, Peggy Dow",Drama,7.9
Harvey,1950,Henry Koster,104,"James Stewart, Josephine Hull, Peggy Dow",Foreign Language Film,7.9
Harvey,1950,Henry Koster,104,"James Stewart, Josephine Hull, Peggy Dow",Psychological Drama,7.9
The Asphalt Jungle,1950,John Huston,112,"Louis Calhern, James Whitmore, Sam Jaffe",Coming-of-Age,7.8
The Asphalt Jungle,1950,John Huston,112,"Louis Calhern, James Whitmore, Sam Jaffe",Drama,7.8
The Asphalt Jungle,1950,John Huston,112,"Louis Calhern, James Whitmore, Sam Jaffe",Foreign Language Film,7.8
Winchester '73,1950,Anthony Mann,92,"Dan Duryea, James Stewart, Shelley Winters",Western,7.6
Night and the City,1950,Jules Dassin,96,"Richard Widmark, Gene Tierney, Googie Withers",Absurd Comedy,7.8
Night and the City,1950,Jules Dassin,96,"Richard Widmark, Gene Tierney, Googie Withers",Comedy,7.8
Night and the City,1950,Jules Dassin,96,"Richard Widmark, Gene Tierney, Googie Withers",Farce,7.8
Gun Crazy,1950,Joseph H. Lewis,86,"Peggy Cummins, John Dall, Berry Kroeger",Based-on-20th-Century-Literature,7.6
Gun Crazy,1950,Joseph H. Lewis,86,"Peggy Cummins, John Dall, Berry Kroeger",Crime Drama,7.6
Gun Crazy,1950,Joseph H. Lewis,86,"Peggy Cummins, John Dall, Berry Kroeger",Crime Thriller,7.6
Los olvidados,1950,Luis Buñuel,85,"Estela Inda, Miguel Inclán, Alfonso Mejía",Action Thriller,6
Los olvidados,1950,Luis Buñuel,85,"Estela Inda, Miguel Inclán, Alfonso Mejía",Action,6
Los olvidados,1950,Luis Buñuel,85,"Estela Inda, Miguel Inclán, Alfonso Mejía",Based-on-20th-Century-Literature,6
Born Yesterday,1950,George Cukor,103,"Judy Holliday, Broderick Crawford, William Holden",Based-on-20th-Century-Literature,7.5
Born Yesterday,1950,George Cukor,103,"Judy Holliday, Broderick Crawford, William Holden",Comedy Thriller,7.5
Born Yesterday,1950,George Cukor,103,"Judy Holliday, Broderick Crawford, William Holden",Comedy,7.5
Orpheus,1950,Jean Cocteau,95,"Jean Marais, François Perier, Maria Casarés",Drama,7.9
Orpheus,1950,Jean Cocteau,95,"Jean Marais, François Perier, Maria Casarés",Paranoid Thriller,7.9
Orpheus,1950,Jean Cocteau,95,"Jean Marais, François Perier, Maria Casarés",Psychological Thriller,7.9
The Gunfighter,1950,Henry King,85,"Gregory Peck, Helen Westcott, Karl Malden",Comedy Drama,7.7
The Gunfighter,1950,Henry King,85,"Gregory Peck, Helen Westcott, Karl Malden",Coming-of-Age,7.7
The Gunfighter,1950,Henry King,85,"Gregory Peck, Helen Westcott, Karl Malden",Cross-Dressing / Gender-Bending,7.7
Rio Grande,1950,John Ford,105,"John Wayne, Maureen O'Hara, Ben Johnson",Horror,7
Rio Grande,1950,John Ford,105,"John Wayne, Maureen O'Hara, Ben Johnson",Monster Film,7
Rio Grande,1950,John Ford,105,"John Wayne, Maureen O'Hara, Ben Johnson",Survival Film,7
Cinderella,1950,Clyde Geronimi,74,"Ilene Woods, Verna Felton, Don Barclay",Comedy Western,7.3
Cinderella,1950,Clyde Geronimi,74,"Ilene Woods, Verna Felton, Don Barclay",Foreign Language Film,7.3
Cinderella,1950,Clyde Geronimi,74,"Ilene Woods, Verna Felton, Don Barclay",Outlaw,7.3
D.O.A.,1950,Rudolph Maté,83,"Edmond O'Brien, Pamela Britton, Luther Adler",Action Thriller,6.7
D.O.A.,1950,Rudolph Maté,83,"Edmond O'Brien, Pamela Britton, Luther Adler",Action,6.7
D.O.A.,1950,Rudolph Maté,83,"Edmond O'Brien, Pamela Britton, Luther Adler",Adventure,6.7
Where the Sidewalk Ends,1950,Otto Preminger,95,"Bert Freed, Gary Merrill, Dana Andrews",Biography,7.6
Where the Sidewalk Ends,1950,Otto Preminger,95,"Bert Freed, Gary Merrill, Dana Andrews",Documentary,7.6
Where the Sidewalk Ends,1950,Otto Preminger,95,"Bert Freed, Gary Merrill, Dana Andrews",Gay and Lesbian Film,7.6
Rabbit of Seville,1950,Chuck Jones,7,"Mel Blanc, Arthur Q. Bryan",Drama,8.3
Rabbit of Seville,1950,Chuck Jones,7,"Mel Blanc, Arthur Q. Bryan",Ensemble Film,8.3
Rabbit of Seville,1950,Chuck Jones,7,"Mel Blanc, Arthur Q. Bryan",Family Drama,8.3
Panic in the Streets,1950,Elia Kazan,96,"Zero Mostel, Barbara Bel Geddes, Jack Palance",Drama,7.2
Panic in the Streets,1950,Elia Kazan,96,"Zero Mostel, Barbara Bel Geddes, Jack Palance",Horror,7.2
Panic in the Streets,1950,Elia Kazan,96,"Zero Mostel, Barbara Bel Geddes, Jack Palance",Magic Realism,7.2
Stage Fright,1950,Alfred Hitchcock,110,"Jane Wyman, Marlene Dietrich, Richard Todd",Adventure,7
Stage Fright,1950,Alfred Hitchcock,110,"Jane Wyman, Marlene Dietrich, Richard Todd",Animation,7
Stage Fright,1950,Alfred Hitchcock,110,"Jane Wyman, Marlene Dietrich, Richard Todd",Anime,7
Father of the Bride,1950,Vincente Minnelli,92,"Spencer Tracy, Joan Bennett, Elizabeth Taylor",Comedy,7.1
Father of the Bride,1950,Vincente Minnelli,92,"Spencer Tracy, Joan Bennett, Elizabeth Taylor",Sophisticated Comedy,7.1
La Ronde,1950,Max Ophüls,97,"Anton Walbrook, Simone Simon, Simone Signoret",Drama,7.5
La Ronde,1950,Max Ophüls,97,"Anton Walbrook, Simone Simon, Simone Signoret",Romance,7.5
La Ronde,1950,Max Ophüls,97,"Anton Walbrook, Simone Simon, Simone Signoret",Romantic Drama,7.5
No Way Out,1950,Joseph L. Mankiewicz,106,"Sidney Poitier, Ruby Dee, Ossie Davis",Based-on-Theatre,7.4
No Way Out,1950,Joseph L. Mankiewicz,106,"Sidney Poitier, Ruby Dee, Ossie Davis",Drama,7.4
No Way Out,1950,Joseph L. Mankiewicz,106,"Sidney Poitier, Ruby Dee, Ossie Davis",Erotic Drama,7.4
The Furies,1950,Anthony Mann,109,"Barbara Stanwyck, Gilbert Roland, Wendell Corey",Detective Film,7.3
The Furies,1950,Anthony Mann,109,"Barbara Stanwyck, Gilbert Roland, Wendell Corey",Mystery,7.3
The Furies,1950,Anthony Mann,109,"Barbara Stanwyck, Gilbert Roland, Wendell Corey",Supernatural Thriller,7.3
The Flowers of St. Francis,1950,Roberto Rossellini,75,"Gianfranco Bellini, Aldo Fabrizi, Peparuolo",Drama,7.3
The Flowers of St. Francis,1950,Roberto Rossellini,75,"Gianfranco Bellini, Aldo Fabrizi, Peparuolo",Foreign Language Film,7.3
The Flowers of St. Francis,1950,Roberto Rossellini,75,"Gianfranco Bellini, Aldo Fabrizi, Peparuolo",Italian Neorealism,7.3
Treasure Island,1950,Byron Haskin,96,"Walter Fitzgerald, Bobby Driscoll, Denis O'Dea",Anthology Film,6.9
Treasure Island,1950,Byron Haskin,96,"Walter Fitzgerald, Bobby Driscoll, Denis O'Dea",Based-on-19th-Century-Literature,6.9
Treasure Island,1950,Byron Haskin,96,"Walter Fitzgerald, Bobby Driscoll, Denis O'Dea",Comedy,6.9
Broken Arrow,1950,Delmer Daves,93,"James Stewart, Jeff Chandler, Debra Paget",Drama,7.1
Broken Arrow,1950,Delmer Daves,93,"James Stewart, Jeff Chandler, Debra Paget",Romance,7.1
Broken Arrow,1950,Delmer Daves,93,"James Stewart, Jeff Chandler, Debra Paget",Fairy Tales and Legends,7.1
Wagon Master,1950,John Ford,86,"Ben Johnson, Joanne Dru, Harry Carey Jr.",Action Thriller,7.1
Wagon Master,1950,John Ford,86,"Ben Johnson, Joanne Dru, Harry Carey Jr.",Disaster Film,7.1
Wagon Master,1950,John Ford,86,"Ben Johnson, Joanne Dru, Harry Carey Jr.",Science Fiction,7.1
Summer Stock,1950,Charles Walters,108,"Judy Garland, Gene Kelly, Eddie Bracken",Based-on-21st-Century-Literature,7.1
Summer Stock,1950,Charles Walters,108,"Judy Garland, Gene Kelly, Eddie Bracken",Courtroom Drama,7.1
Summer Stock,1950,Charles Walters,108,"Judy Garland, Gene Kelly, Eddie Bracken",Crime Drama,7.1
Cyrano de Bergerac,1950,Michael Gordon,112,"José Ferrer, Mala Powers, William Prince",Childhood Drama,7.4
Cyrano de Bergerac,1950,Michael Gordon,112,"José Ferrer, Mala Powers, William Prince",Drama,7.4
Cyrano de Bergerac,1950,Michael Gordon,112,"José Ferrer, Mala Powers, William Prince",Fantasy,7.4
The Breaking Point,1950,Michael Curtiz,97,"John Garfield, Patricia Neal, Phyllis Thaxter",Crime Drama,7.5
The Breaking Point,1950,Michael Curtiz,97,"John Garfield, Patricia Neal, Phyllis Thaxter",Crime Thriller,7.5
The Breaking Point,1950,Michael Curtiz,97,"John Garfield, Patricia Neal, Phyllis Thaxter",Crime,7.5
Scandal,1950,Akira Kurosawa,104,"Toshirô Mifune, Shirley Yamaguchi, Yôko Katsuragi",Con Artist / Hustler,7.2
Scandal,1950,Akira Kurosawa,104,"Toshirô Mifune, Shirley Yamaguchi, Yôko Katsuragi",Home Invasion Film,7.2
Scandal,1950,Akira Kurosawa,104,"Toshirô Mifune, Shirley Yamaguchi, Yôko Katsuragi",Psychological Thriller,7.2
The Scarlet Pumpernickel,1950,Chuck Jones,7,"Mel Blanc, Marian Richman",Chase Movie,7.3
The Scarlet Pumpernickel,1950,Chuck Jones,7,"Mel Blanc, Marian Richman",Comedy,7.3
The Scarlet Pumpernickel,1950,Chuck Jones,7,"Mel Blanc, Marian Richman",Short Film,7.3
Annie Get Your Gun,1950,George Sidney,107,"Howard Keel, Louis Calhern, Edward Arnold",Crime,6.9
Annie Get Your Gun,1950,George Sidney,107,"Howard Keel, Louis Calhern, Edward Arnold",Crime Drama,6.9
Annie Get Your Gun,1950,George Sidney,107,"Howard Keel, Louis Calhern, Edward Arnold",Crime Thriller,6.9
Caged,1950,John Cromwell,96,"Eleanor Parker, Hope Emerson, Agnes Moorehead",Concert Film,7.6
Caged,1950,John Cromwell,96,"Eleanor Parker, Hope Emerson, Agnes Moorehead",Documentary,7.6
Caged,1950,John Cromwell,96,"Eleanor Parker, Hope Emerson, Agnes Moorehead",Music,7.6
Stromboli,1950,Roberto Rossellini,107,"Ingrid Bergman, Mario Vitale, Renzo Cesana",Action,7.2
Stromboli,1950,Roberto Rossellini,107,"Ingrid Bergman, Mario Vitale, Renzo Cesana",Action Comedy,7.2
Stromboli,1950,Roberto Rossellini,107,"Ingrid Bergman, Mario Vitale, Renzo Cesana",Based-on-Television,7.2
King Solomon's Mines,1950,"Compton Bennett, Andrew Marton",103,"Stewart Granger, Deborah Kerr, Richard Carlson",Based-on-20th-Century-Literature,6.8
King Solomon's Mines,1950,"Compton Bennett, Andrew Marton",103,"Stewart Granger, Deborah Kerr, Richard Carlson",Drama,6.8
King Solomon's Mines,1950,"Compton Bennett, Andrew Marton",103,"Stewart Granger, Deborah Kerr, Richard Carlson",Ghost Film,6.8
What's Up Doc?,1950,Robert McKimson,7,"Mel Blanc, Richard Bickenbach, Arthur Q. Bryan",Comedy,7.5
What's Up Doc?,1950,Robert McKimson,7,"Mel Blanc, Richard Bickenbach, Arthur Q. Bryan",Fantasy Comedy,7.5
What's Up Doc?,1950,Robert McKimson,7,"Mel Blanc, Richard Bickenbach, Arthur Q. Bryan",Fantasy,7.5
The Men,1950,Fred Zinnemann,85,"Marlon Brando, Teresa Wright, Everett Sloane",Drama,7.1
The Men,1950,Fred Zinnemann,85,"Marlon Brando, Teresa Wright, Everett Sloane",Foreign Language Film,7.1
The Men,1950,Fred Zinnemann,85,"Marlon Brando, Teresa Wright, Everett Sloane",Road Movie,7.1
The File on Thelma Jordon,1950,Robert Siodmak,100,"Barbara Stanwyck, Wendell Corey, Paul Kelly",Black Comedy,6.9
The File on Thelma Jordon,1950,Robert Siodmak,100,"Barbara Stanwyck, Wendell Corey, Paul Kelly",Crime Comedy,6.9
The File on Thelma Jordon,1950,Robert Siodmak,100,"Barbara Stanwyck, Wendell Corey, Paul Kelly",Crime,6.9
Side Street,1950,Anthony Mann,83,"Paul Kelly, Jean Hagen, James Craig",Based-on-20th-Century-Literature,7.4
Side Street,1950,Anthony Mann,83,"Paul Kelly, Jean Hagen, James Craig",Comedy,7.4
Side Street,1950,Anthony Mann,83,"Paul Kelly, Jean Hagen, James Craig",Fairy Tales and Legends,7.4
Dark City,1950,William Dieterle,98,"Don DeFore, Charlton Heston, Lizabeth Scott",Crime Thriller,6.7
Dark City,1950,William Dieterle,98,"Don DeFore, Charlton Heston, Lizabeth Scott",Crime,6.7
Dark City,1950,William Dieterle,98,"Don DeFore, Charlton Heston, Lizabeth Scott",Drama,6.7
No Man of Her Own,1950,Mitchell Leisen,98,"Barbara Stanwyck, John Lund, Jane Cowl",Drama,7.4
No Man of Her Own,1950,Mitchell Leisen,98,"Barbara Stanwyck, John Lund, Jane Cowl",Film Noir,7.4
No Man of Her Own,1950,Mitchell Leisen,98,"Barbara Stanwyck, John Lund, Jane Cowl",Romance,7.4
Woman on the Run,1950,Norman Foster,77,"Ann Sheridan, Dennis O'Keefe, Robert Keith",Crime Thriller,7.2
Woman on the Run,1950,Norman Foster,77,"Ann Sheridan, Dennis O'Keefe, Robert Keith",Crime,7.2
Woman on the Run,1950,Norman Foster,77,"Ann Sheridan, Dennis O'Keefe, Robert Keith",Film Noir,7.2
Destination Moon,1950,Irving Pichel,92,"John Archer, Warner Anderson, Tom Powers",Adventure,6.3
Destination Moon,1950,Irving Pichel,92,"John Archer, Warner Anderson, Tom Powers",Science Fiction,6.3
Destination Moon,1950,Irving Pichel,92,"John Archer, Warner Anderson, Tom Powers",Space Adventure,6.3
The Baron of Arizona,1950,Samuel Fuller,97,"Vincent Price, Ellen Drew, Vladimir Sokoloff",Based-on-a-True-Story,6.9
The Baron of Arizona,1950,Samuel Fuller,97,"Vincent Price, Ellen Drew, Vladimir Sokoloff",Biopic,6.9
The Baron of Arizona,1950,Samuel Fuller,97,"Vincent Price, Ellen Drew, Vladimir Sokoloff",Docudrama,6.9
Where Danger Lives,1950,John Farrow,82,"Claude Rains, Faith Domergue, Maureen O'Sullivan",Drama,6.7
Where Danger Lives,1950,John Farrow,82,"Claude Rains, Faith Domergue, Maureen O'Sullivan",Film Noir,6.7
Where Danger Lives,1950,John Farrow,82,"Claude Rains, Faith Domergue, Maureen O'Sullivan",Psychological Thriller,6.7
The Flame and the Arrow,1950,Jacques Tourneur,88,"Nick Cravat, Francis Pierlot, Burt Lancaster",Adventure,6.8
The Flame and the Arrow,1950,Jacques Tourneur,88,"Nick Cravat, Francis Pierlot, Burt Lancaster",Costume Adventure,6.8
The Flame and the Arrow,1950,Jacques Tourneur,88,"Nick Cravat, Francis Pierlot, Burt Lancaster",Fantasy,6.8
The Damned Don't Cry,1950,Vincent Sherman,103,"Joan Crawford, David Brian, Steve Cochran",Crime Drama,7.1
