title,year,director,duration,cast,genre
Star Wars,1977,George Lucas,121,"Mark Hamill, Harrison Ford, Carrie Fisher",Action  •  Adventure  •  Cyborg / Android / Robot
The Empire Strikes Back,1980,Irvin Kershner,127,"Mark Hamill, Harrison Ford, Carrie Fisher",Action  •  Adventure  •  Cyborg / Android / Robot
The Godfather,1972,Francis Ford Coppola,175,"Marlon Brando, Al Pacino, James Caan",Based-on-20th-Century-Literature  •  Crime Drama  •  Crime
Raiders of the Lost Ark,1981,Steven Spielberg,115,"Harrison Ford, Paul Freeman, Karen Allen",Action  •  Adventure  •  Costume Adventure
The Shawshank Redemption,1994,Frank Darabont,142,"Tim Robbins, Morgan Freeman, Bob Gunton",Based-on-20th-Century-Literature  •  Buddy Film  •  Drama
Pulp Fiction,1994,Quentin Tarantino,154,"John Travolta, Samuel L. Jackson, Bruce Willis",Black Comedy  •  Comedy Thriller  •  Crime Comedy
Return of the Jedi,1983,Richard Marquand,134,"Mark Hamill, Harrison Ford, Carrie Fisher",Action  •  Adventure  •  Cyborg / Android / Robot
Back to the Future,1985,Robert Zemeckis,116,"Michael J. Fox, Christopher Lloyd, Lea Thompson",Adventure Comedy  •  Adventure  •  Americana
Harakiri,1962,Masaki Kobayashi,133,"Tatsuya Nakadai, Rentaro Mikuni, Shima Iwashita",Based-on-20th-Century-Literature  •  Drama  •  Foreign Language Film
Ikiru,1952,Akira Kurosawa,143,"Takashi Shimura, Shin'ichi Himori, Haruo Tanaka",Based-on-19th-Century-Literature  •  Drama  •  Foreign Language Film
The Godfather Part II,1974,Francis Ford Coppola,200,"Al Pacino, Robert Duvall, Diane Keaton",Based-on-20th-Century-Literature  •  Crime Drama  •  Crime
The Dark Knight,2008,Christopher Nolan,152,"Christian Bale, Heath Ledger, Aaron Eckhart",Action Thriller  •  Action  •  Based-on-Comics
Fight Club,1999,David Fincher,139,"Brad Pitt, Edward Norton, Helena Bonham Carter",Based-on-20th-Century-Literature  •  Black Comedy  •  Comedy Drama
GoodFellas,1990,Martin Scorsese,145,"Robert De Niro, Ray Liotta, Joe Pesci",Based-on-20th-Century-Literature  •  Based-on-a-True-Story  •  Biopic
Rear Window,1954,Alfred Hitchcock,112,"James Stewart, Grace Kelly, Wendell Corey",Based-on-20th-Century-Literature  •  Mystery  •  Psychological Thriller
High and Low,1963,Akira Kurosawa,142,"Toshirô Mifune, Tatsuya Nakadai, Kyoko Kagawa",Based-on-20th-Century-Literature  •  Crime Drama  •  Crime Thriller
City Lights,1931,Charles Chaplin,87,"Charles Chaplin, Virginia Cherrill, Florence Lee",Comedy Drama  •  Comedy  •  Drama
Alien,1979,Ridley Scott,117,"Tom Skerritt, Sigourney Weaver, Ian Holm",Body Horror  •  Cyborg / Android / Robot  •  Horror
The Silence of the Lambs,1991,Jonathan Demme,118,"Jodie Foster, Scott Glenn, Anthony Hopkins",Based-on-20th-Century-Literature  •  Cannibal Film  •  Crime Thriller
The Shining,1980,Stanley Kubrick,142,"Jack Nicholson, Shelley Duvall, Danny Lloyd",Based-on-20th-Century-Literature  •  Ghost Film  •  Haunted House Film
Indiana Jones and the Last Crusade,1989,Steven Spielberg,127,"River Phoenix, Harrison Ford, Sean Connery",Action Comedy  •  Action  •  Adventure Comedy
Se7en,1995,David Fincher,127,"Brad Pitt, Morgan Freeman, Gwyneth Paltrow",Crime Thriller  •  Crime  •  Police Detective Film
Reservoir Dogs,1992,Quentin Tarantino,99,"Harvey Keitel, Tim Roth, Michael Madsen",Caper  •  Crime Thriller  •  Crime
The Apartment,1960,Billy Wilder,125,"Jack Lemmon, Fred MacMurray, Ray Walston",Black Comedy  •  Comedy Drama  •  Drama
Casablanca,1942,Michael Curtiz,102,"Humphrey Bogart, Ingrid Bergman, Paul Henreid",Based-on-Theatre  •  Drama  •  Romance
Seven Samurai,1954,Akira Kurosawa,207,"Toshirô Mifune, Minoru Chiaki, Takashi Shimura",Action  •  Drama  •  Ensemble Film
The Matrix,1999,The Wachowskis,136,"Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss",Action  •  Cyberpunk / Tech Noir  •  Cyborg / Android / Robot
M,1931,Fritz Lang,99,"Peter Lorre, Ellen Widmann, Inge Landgut",Crime Thriller  •  Crime  •  Foreign Language Film
Die Hard,1988,John McTiernan,131,"Bruce Willis, Alan Rickman, Bonnie Bedelia",Action Thriller  •  Action  •  Based-on-20th-Century-Literature
Monty Python and the Holy Grail,1975,"Terry Gilliam, Terry Jones",91,"Graham Chapman, John Cleese, Eric Idle",Absurd Comedy  •  Adventure Comedy  •  Adventure
"The Good, the Bad and the Ugly",1966,Sergio Leone,161,"Eli Wallach, Clint Eastwood, Lee Van Cleef",Foreign Language Film  •  Outlaw  •  Revisionist Western
