title,year,director,duration,cast,genre,imdb_rating
Rashômon,1950,Akira Kurosawa,88,"Toshirô Mifune, Machiko Kyô, Minoru Chiaki",Based-on-20th-Century-Literature  •  Crime Drama  •  Crime,8.2
Sunset Blvd.,1950,Billy Wilder,110,"William Holden, Gloria Swanson, Nancy Olson",Film Noir  •  Mystery  •  Political Thriller,5.2
In a Lonely Place,1950,Nicholas Ray,94,"Humphrey Bogart, Gloria Grahame, Frank Lovejoy",Drama  •  Film Noir  •  Media Satire,7.9
All About Eve,1950,Joseph L. Mankiewicz,138,"Bette Davis, Anne Baxter, George Sanders",Based-on-Theatre  •  Comedy  •  Romance,8.2
Harvey,1950,Henry Koster,104,"James Stewart, Josephine Hull, Peggy Dow",Drama  •  Foreign Language Film  •  Psychological Drama,7.9
The Asphalt Jungle,1950,John Huston,112,"Louis Calhern, James Whitmore, Sam Jaffe",Coming-of-Age  •  Drama  •  Foreign Language Film,7.8
Winchester '73,1950,Anthony Mann,92,"Dan Duryea, James Stewart, Shelley Winters",Western,7.6
Night and the City,1950,Jules Dassin,96,"Richard Widmark, Gene Tierney, Googie Withers",Absurd Comedy  •  Comedy  •  Farce,7.8
Gun Crazy,1950,Joseph H. Lewis,86,"Peggy Cummins, John Dall, Berry Kroeger",Based-on-20th-Century-Literature  •  Crime Drama  •  Crime Thriller,7.6
Los olvidados,1950,Luis Buñuel,85,"Estela Inda, Miguel Inclán, Alfonso Mejía",Action Thriller  •  Action  •  Based-on-20th-Century-Literature,6
Born Yesterday,1950,George Cukor,103,"Judy Holliday, Broderick Crawford, William Holden",Based-on-20th-Century-Literature  •  Comedy Thriller  •  Comedy,7.5
Orpheus,1950,Jean Cocteau,95,"Jean Marais, François Perier, Maria Casarés",Drama  •  Paranoid Thriller  •  Psychological Thriller,7.9
The Gunfighter,1950,Henry King,85,"Gregory Peck, Helen Westcott, Karl Malden",Comedy Drama  •  Coming-of-Age  •  Cross-Dressing / Gender-Bending,7.7
Rio Grande,1950,John Ford,105,"John Wayne, Maureen O'Hara, Ben Johnson",Horror  •  Monster Film  •  Survival Film,7
Cinderella,1950,Clyde Geronimi,74,"Ilene Woods, Verna Felton, Don Barclay",Comedy Western  •  Foreign Language Film  •  Outlaw,7.3
D.O.A.,1950,Rudolph Maté,83,"Edmond O'Brien, Pamela Britton, Luther Adler",Action Thriller  •  Action  •  Adventure,6.7
Where the Sidewalk Ends,1950,Otto Preminger,95,"Bert Freed, Gary Merrill, Dana Andrews",Biography  •  Documentary  •  Gay and Lesbian Film,7.6
Rabbit of Seville,1950,Chuck Jones,7,"Mel Blanc, Arthur Q. Bryan",Drama  •  Ensemble Film  •  Family Drama,8.3
Panic in the Streets,1950,Elia Kazan,96,"Zero Mostel, Barbara Bel Geddes, Jack Palance",Drama  •  Horror  •  Magic Realism,7.2
Stage Fright,1950,Alfred Hitchcock,110,"Jane Wyman, Marlene Dietrich, Richard Todd",Adventure  •  Animation  •  Anime,7
Father of the Bride,1950,Vincente Minnelli,92,"Spencer Tracy, Joan Bennett, Elizabeth Taylor",Comedy  •  Sophisticated Comedy,7.1
La Ronde,1950,Max Ophüls,97,"Anton Walbrook, Simone Simon, Simone Signoret",Drama  •  Romance  •  Romantic Drama,7.5
No Way Out,1950,Joseph L. Mankiewicz,106,"Sidney Poitier, Ruby Dee, Ossie Davis",Based-on-Theatre  •  Drama  •  Erotic Drama,7.4
The Furies,1950,Anthony Mann,109,"Barbara Stanwyck, Gilbert Roland, Wendell Corey",Detective Film  •  Mystery  •  Supernatural Thriller,7.3
The Flowers of St. Francis,1950,Roberto Rossellini,75,"Gianfranco Bellini, Aldo Fabrizi, Peparuolo",Drama  •  Foreign Language Film  •  Italian Neorealism,7.3
Treasure Island,1950,Byron Haskin,96,"Walter Fitzgerald, Bobby Driscoll, Denis O'Dea",Anthology Film  •  Based-on-19th-Century-Literature  •  Comedy,6.9
Broken Arrow,1950,Delmer Daves,93,"James Stewart, Jeff Chandler, Debra Paget",Drama  •  Romance  •  Fairy Tales and Legends,7.1
Wagon Master,1950,John Ford,86,"Ben Johnson, Joanne Dru, Harry Carey Jr.",Action Thriller  •  Disaster Film  •  Science Fiction,7.1
Summer Stock,1950,Charles Walters,108,"Judy Garland, Gene Kelly, Eddie Bracken",Based-on-21st-Century-Literature  •  Courtroom Drama  •  Crime Drama,7.1
Cyrano de Bergerac,1950,Michael Gordon,112,"José Ferrer, Mala Powers, William Prince",Childhood Drama  •  Drama  •  Fantasy,7.4
The Breaking Point,1950,Michael Curtiz,97,"John Garfield, Patricia Neal, Phyllis Thaxter",Crime Drama  •  Crime Thriller  •  Crime,7.5
Scandal,1950,Akira Kurosawa,104,"Toshirô Mifune, Shirley Yamaguchi, Yôko Katsuragi",Con Artist / Hustler  •  Home Invasion Film  •  Psychological Thriller,7.2
The Scarlet Pumpernickel,1950,Chuck Jones,7,"Mel Blanc, Marian Richman",Chase Movie  •  Comedy  •  Short Film,7.3
Annie Get Your Gun,1950,George Sidney,107,"Howard Keel, Louis Calhern, Edward Arnold",Crime  •  Crime Drama  •  Crime Thriller,6.9
Caged,1950,John Cromwell,96,"Eleanor Parker, Hope Emerson, Agnes Moorehead",Concert Film  •  Documentary  •  Music,7.6
Stromboli,1950,Roberto Rossellini,107,"Ingrid Bergman, Mario Vitale, Renzo Cesana",Action  •  Action Comedy  •  Based-on-Television,7.2
King Solomon's Mines,1950,"Compton Bennett, Andrew Marton",103,"Stewart Granger, Deborah Kerr, Richard Carlson",Based-on-20th-Century-Literature  •  Drama  •  Ghost Film,6.8
What's Up Doc?,1950,Robert McKimson,7,"Mel Blanc, Richard Bickenbach, Arthur Q. Bryan",Comedy  •  Fantasy Comedy  •  Fantasy,7.5
The Men,1950,Fred Zinnemann,85,"Marlon Brando, Teresa Wright, Everett Sloane",Drama  •  Foreign Language Film  •  Road Movie,7.1
The File on Thelma Jordon,1950,Robert Siodmak,100,"Barbara Stanwyck, Wendell Corey, Paul Kelly",Black Comedy  •  Crime Comedy  •  Crime,6.9
Side Street,1950,Anthony Mann,83,"Paul Kelly, Jean Hagen, James Craig",Based-on-20th-Century-Literature  •  Comedy  •  Fairy Tales and Legends,7.4
Dark City,1950,William Dieterle,98,"Don DeFore, Charlton Heston, Lizabeth Scott",Crime Thriller  •  Crime  •  Drama,6.7
No Man of Her Own,1950,Mitchell Leisen,98,"Barbara Stanwyck, John Lund, Jane Cowl",Drama  •  Film Noir  •  Romance,7.4
Woman on the Run,1950,Norman Foster,77,"Ann Sheridan, Dennis O'Keefe, Robert Keith",Crime Thriller  •  Crime  •  Film Noir,7.2
Destination Moon,1950,Irving Pichel,92,"John Archer, Warner Anderson, Tom Powers",Adventure  •  Science Fiction  •  Space Adventure,6.3
The Baron of Arizona,1950,Samuel Fuller,97,"Vincent Price, Ellen Drew, Vladimir Sokoloff",Based-on-a-True-Story  •  Biopic  •  Docudrama,6.9
Where Danger Lives,1950,John Farrow,82,"Claude Rains, Faith Domergue, Maureen O'Sullivan",Drama  •  Film Noir  •  Psychological Thriller,6.7
The Flame and the Arrow,1950,Jacques Tourneur,88,"Nick Cravat, Francis Pierlot, Burt Lancaster",Adventure  •  Costume Adventure  •  Fantasy,6.8
The Damned Don't Cry,1950,Vincent Sherman,103,"Joan Crawford, David Brian, Steve Cochran",Crime Drama  •  Crime  •  Drama,7.1
Last Holiday,1950,Henry Cass,88,"Alec Guinness, Kay Walsh, Beatrice Campell",Black Comedy  •  Comedy Drama  •  Comedy of Manners,7.3
Kon-Tiki,1950,Thor Heyerdahl,77,Thor Heyerdahl,Culture and Society  •  Documentary  •  Social History,7.9
To Joy,1950,Ingmar Bergman,98,"Maj-Britt Nilsson, Stig Olin, Birger Malmsten",Drama  •  Foreign Language Film  •  Marriage Drama,7.2
Abbott and Costello in the Foreign Legion,1950,Charles Lamont,80,"Bud Abbott, Lou Costello",Comedy  •  Military Comedy  •  Odd Couple Film,6.3
Variety Lights,1950,"Federico Fellini, Alberto Lattuada",93,"Peppino De Filippo, Carla Del Poggio, Giulietta Masina",Drama  •  Showbiz Drama,7.1
Union Station,1950,Rudolph Maté,81,"William Holden, Barry Fitzgerald, Nancy Olson",Crime Thriller  •  Crime  •  Detective Film,6.8
Cheaper by the Dozen,1950,Walter Lang,85,"Edgar Buchanan, Jeanne Crain, Betty Lynn",Comedy  •  Domestic Comedy  •  Drama,7
Armored Car Robbery,1950,Richard Fleischer,67,"Charles McGraw, Adele Jergens, William Talman",Caper  •  Crime Thriller  •  Crime,7
House by the River,1950,Fritz Lang,88,"Louis Hayward, Jane Wyatt, Lee Bowman",Crime Drama  •  Crime  •  Drama,7
Girl with Hyacinths,1950,Hasse Ekman,89,"Eva Henning, Ulf Palme, Birgit Tengroth",Drama  •  Foreign Language Film  •  Mystery,7.5
The Sound of Fury,1950,Cy Endfield,85,"Frank Lovejoy, Kathleen Ryan, Lloyd Bridges",Crime Drama  •  Crime  •  Drama,7.2
Devil's Doorway,1950,Anthony Mann,84,"Marshall Thompson, Louis Calhern, Robert Taylor",Action  •  Social Problem Film  •  Western,7.2
Strangers on a Train,1951,Alfred Hitchcock,101,"Farley Granger, Robert Walker, Ruth Roman",Adventure  •  Based-on-20th-Century-Literature  •  Cyborg / Android / Robot,7.9
Ace in the Hole,1951,Billy Wilder,111,"Kirk Douglas, Robert Arthur, Jan Sterling",Based-on-20th-Century-Literature  •  Crime Thriller  •  Crime,8.1
A Streetcar Named Desire,1951,Elia Kazan,125,"Vivien Leigh, Kim Hunter, Karl Malden",Based-on-Theatre  •  Film Noir  •  Period Film,7.9
The African Queen,1951,John Huston,105,"Humphrey Bogart, Katharine Hepburn, Robert Morley",Buddy Film  •  Comedy Drama  •  Military Comedy,7.7
